district_id,district_name,year,month,drought_next_actual,drought_risk_prob,drought_alert
taolagnaro,Taolagnaro,2024,12,1,0.8474441650556575,1
ambovombe_androy,Ambovombe-Androy,2025,1,0,0.7881134592428695,1
betioky_atsimo,Betioky Atsimo,2023,12,1,0.7819933622181293,1
amboasary_atsimo,Amboasary-Atsimo,2025,1,0,0.7325216748247939,1
ambovombe_androy,Ambovombe-Androy,2024,12,1,0.7155885633743693,1
ampanihy_ouest,Ampanihy Ouest,2024,1,0,0.6851992733471569,1
betioky_atsimo,Betioky Atsimo,2024,1,0,0.6784310654368018,1
amboasary_atsimo,Amboasary-Atsimo,2024,12,1,0.6569305412720782,1
bekily,Bekily,2025,1,0,0.6469065962681168,1
tsihombe,Tsihombe,2025,1,0,0.6369014697095222,1
tsihombe,Tsihombe,2024,12,1,0.626946880364437,1
taolagnaro,Taolagnaro,2024,11,1,0.6267293939065887,1
ambovombe_androy,Ambovombe-Androy,2024,2,0,0.6248419922003479,1
ambovombe_androy,Ambovombe-Androy,2023,12,1,0.6134818593329786,1
beloha,Beloha,2025,1,0,0.6073147519877096,1
betioky_atsimo,Betioky Atsimo,2023,11,1,0.6039604524051866,1
benenitra,Benenitra,2025,1,0,0.6000219633466175,1
beroroha,Beroroha,2023,12,0,0.5932391570069078,1
betioky_atsimo,Betioky Atsimo,2025,1,0,0.5841437992770478,1
betroka,Betroka,2023,12,0,0.58281294688071,1
bekily,Bekily,2024,12,0,0.5755579633606052,1
betioky_atsimo,Betioky Atsimo,2024,12,0,0.5747468623152736,1
beroroha,Beroroha,2024,1,0,0.573020256659118,1
sakaraha,Sakaraha,2023,12,0,0.554353573452646,1
beloha,Beloha,2024,12,0,0.5460063353614406,1
bekily,Bekily,2024,2,0,0.5407219392016696,1
taolagnaro,Taolagnaro,2023,11,1,0.5363490693563477,1
taolagnaro,Taolagnaro,2023,12,1,0.535710390540916,1
beloha,Beloha,2024,2,0,0.53303878472457,1
ampanihy_ouest,Ampanihy Ouest,2024,12,0,0.5310287771462159,1
taolagnaro,Taolagnaro,2024,10,0,0.5297708066958375,1
betroka,Betroka,2025,1,0,0.5286769379402,1
amboasary_atsimo,Amboasary-Atsimo,2024,2,0,0.5258127692125326,1
benenitra,Benenitra,2024,2,0,0.5248791860744567,1
benenitra,Benenitra,2023,12,0,0.5226286290791625,1
morombe,Morombe,2023,12,1,0.5102635012677907,1
ampanihy_ouest,Ampanihy Ouest,2025,1,0,0.5043973714773644,1
tsihombe,Tsihombe,2024,1,0,0.503855464123165,1
morombe,Morombe,2025,1,0,0.5035678040636529,1
benenitra,Benenitra,2023,11,1,0.4988750671991411,1
beloha,Beloha,2024,1,0,0.4923953877818545,1
ampanihy_ouest,Ampanihy Ouest,2024,2,0,0.4888150710272044,1
taolagnaro,Taolagnaro,2024,1,1,0.485211187023909,1
ambovombe_androy,Ambovombe-Androy,2024,1,0,0.484905743073968,1
benenitra,Benenitra,2024,1,0,0.4827304065173824,1
ankazoabo,Ankazoabo,2023,12,0,0.4812344641078953,1
sakaraha,Sakaraha,2023,11,1,0.4806802003425447,1
taolagnaro,Taolagnaro,2025,1,1,0.4730018253210593,1
ampanihy_ouest,Ampanihy Ouest,2023,12,1,0.4717897662590503,1
ambovombe_androy,Ambovombe-Androy,2025,2,0,0.4668285832228744,1
betroka,Betroka,2024,12,0,0.4631939974900139,1
taolagnaro,Taolagnaro,2023,9,0,0.4603334148387186,1
tsihombe,Tsihombe,2024,2,0,0.4603047914709934,1
betioky_atsimo,Betioky Atsimo,2024,2,0,0.4584479311546775,1
ankazoabo,Ankazoabo,2025,1,0,0.4538001517500027,1
amboasary_atsimo,Amboasary-Atsimo,2024,9,0,0.4417576985001512,1
beroroha,Beroroha,2023,1,1,0.4416473512304362,1
bekily,Bekily,2023,12,1,0.4404493912160727,1
morombe,Morombe,2024,12,0,0.4404067096426949,1
morombe,Morombe,2023,1,0,0.4373312858708336,1
sakaraha,Sakaraha,2024,12,0,0.4281922460519964,1
benenitra,Benenitra,2023,1,0,0.4256241084539467,1
bekily,Bekily,2023,11,1,0.4249067036905207,1
ankazoabo,Ankazoabo,2023,1,0,0.4235768727685787,1
amboasary_atsimo,Amboasary-Atsimo,2024,11,1,0.4226188741139067,1
beloha,Beloha,2023,12,1,0.4223912156882814,1
taolagnaro,Taolagnaro,2024,9,0,0.4222883637065878,1
amboasary_atsimo,Amboasary-Atsimo,2023,9,0,0.4209662014734359,1
betroka,Betroka,2023,1,0,0.4203722845972384,1
sakaraha,Sakaraha,2024,1,0,0.4196723037066593,1
ambovombe_androy,Ambovombe-Androy,2024,11,1,0.4174117594426347,1
sakaraha,Sakaraha,2025,1,0,0.4171052565010302,1
ambovombe_androy,Ambovombe-Androy,2024,5,1,0.4142805724631079,1
tsihombe,Tsihombe,2025,2,0,0.4101469611978083,1
amboasary_atsimo,Amboasary-Atsimo,2025,6,0,0.4056319429240603,1
benenitra,Benenitra,2023,2,0,0.4055701964953122,1
benenitra,Benenitra,2024,12,0,0.4053150532974287,1
amboasary_atsimo,Amboasary-Atsimo,2023,6,0,0.3998128515175723,1
amboasary_atsimo,Amboasary-Atsimo,2024,1,0,0.3996907346292348,1
ankazoabo,Ankazoabo,2023,11,1,0.3995805871163202,1
ankazoabo,Ankazoabo,2024,12,0,0.3989708895031451,1
betioky_atsimo,Betioky Atsimo,2024,10,0,0.3980901470997555,1
beroroha,Beroroha,2024,12,0,0.3942900526344202,1
taolagnaro,Taolagnaro,2025,6,0,0.3940981763341958,1
bekily,Bekily,2023,9,0,0.3938329715601878,1
amboasary_atsimo,Amboasary-Atsimo,2023,12,1,0.3919590826112841,1
beroroha,Beroroha,2025,1,0,0.3908987580859881,1
amboasary_atsimo,Amboasary-Atsimo,2024,10,0,0.3897678722311058,1
beloha,Beloha,2024,11,1,0.3771015056304098,1
taolagnaro,Taolagnaro,2024,6,0,0.3764890221079475,1
beloha,Beloha,2025,2,0,0.3764255192329727,1
sakaraha,Sakaraha,2023,1,0,0.3761874875472026,1
amboasary_atsimo,Amboasary-Atsimo,2025,2,0,0.371699801462605,1
beroroha,Beroroha,2023,11,1,0.3712759607726413,1
ankazoabo,Ankazoabo,2024,1,0,0.3704312386302513,1
taolagnaro,Taolagnaro,2023,1,1,0.3703199112721378,1
taolagnaro,Taolagnaro,2023,10,0,0.3665510503857669,1
betioky_atsimo,Betioky Atsimo,2023,9,0,0.3627226182690272,1
bekily,Bekily,2024,1,0,0.3620364968888563,1
betroka,Betroka,2024,1,0,0.3592593459558313,1
ankazoabo,Ankazoabo,2024,2,0,0.3553923217957655,1
morombe,Morombe,2024,1,1,0.3540782406016815,1
bekily,Bekily,2023,2,0,0.3519481847071649,1
amboasary_atsimo,Amboasary-Atsimo,2025,9,0,0.3511806828153934,1
ambovombe_androy,Ambovombe-Androy,2023,9,0,0.3467753036508343,1
sakaraha,Sakaraha,2023,10,1,0.3464426995580799,1
sakaraha,Sakaraha,2024,9,0,0.3453982457201792,1
ambovombe_androy,Ambovombe-Androy,2023,2,0,0.3432275988273757,1
ampanihy_ouest,Ampanihy Ouest,2024,10,1,0.3381611398242102,1
ambovombe_androy,Ambovombe-Androy,2024,9,0,0.3379265771647926,1
betroka,Betroka,2023,11,1,0.3370646075583322,1
ampanihy_ouest,Ampanihy Ouest,2024,11,1,0.3346611486095173,1
amboasary_atsimo,Amboasary-Atsimo,2024,8,0,0.331849777303058,1
taolagnaro,Taolagnaro,2024,5,0,0.3312747490279392,1
morombe,Morombe,2024,2,0,0.3245661534520608,1
morombe,Morombe,2023,11,1,0.3230668591767454,1
taolagnaro,Taolagnaro,2025,9,0,0.3217985055545709,1
ambovombe_androy,Ambovombe-Androy,2024,10,0,0.3182289747586683,1
amboasary_atsimo,Amboasary-Atsimo,2024,6,0,0.3180091063732252,1
betioky_atsimo,Betioky Atsimo,2025,10,0,0.3179637137845345,1
amboasary_atsimo,Amboasary-Atsimo,2023,1,1,0.316286768506046,1
taolagnaro,Taolagnaro,2023,6,1,0.3132293733535624,1
bekily,Bekily,2025,9,0,0.3131855404350114,1
sakaraha,Sakaraha,2024,2,0,0.3117111441660196,1
betioky_atsimo,Betioky Atsimo,2024,9,0,0.3086398855288959,1
betroka,Betroka,2023,2,0,0.3068142557754789,1
amboasary_atsimo,Amboasary-Atsimo,2023,11,0,0.3003987884734921,1
ankazoabo,Ankazoabo,2025,2,1,0.2976666725743938,1
betroka,Betroka,2024,2,0,0.2971203954926519,1
ampanihy_ouest,Ampanihy Ouest,2023,2,0,0.2971182347976129,1
sakaraha,Sakaraha,2025,10,0,0.2966641535282973,1
taolagnaro,Taolagnaro,2025,10,0,0.2951242914506785,1
ambovombe_androy,Ambovombe-Androy,2023,1,1,0.2941297556409823,1
betioky_atsimo,Betioky Atsimo,2023,10,1,0.291435228754358,1
benenitra,Benenitra,2025,2,0,0.2913834127618174,1
beloha,Beloha,2024,10,1,0.2897427909228835,1
betroka,Betroka,2023,9,0,0.2893557528477661,1
betroka,Betroka,2025,2,0,0.2886699175303389,1
taolagnaro,Taolagnaro,2023,4,1,0.2870182294262043,1
betioky_atsimo,Betioky Atsimo,2025,2,0,0.2869815113440663,1
tsihombe,Tsihombe,2023,1,1,0.2848712783971825,1
taolagnaro,Taolagnaro,2025,5,0,0.2841567942880676,1
betroka,Betroka,2025,9,1,0.2817656467753847,1
bekily,Bekily,2023,1,0,0.280175385891989,1
taolagnaro,Taolagnaro,2025,2,0,0.2796585100762752,1
ambovombe_androy,Ambovombe-Androy,2024,6,0,0.2768372792078451,1
ambovombe_androy,Ambovombe-Androy,2023,11,1,0.2766536646543236,1
tsihombe,Tsihombe,2023,12,1,0.2729106589317801,1
taolagnaro,Taolagnaro,2023,2,0,0.2723356067276317,1
betioky_atsimo,Betioky Atsimo,2023,2,0,0.2700190067726913,1
betroka,Betroka,2024,10,0,0.2697873776503104,1
beloha,Beloha,2024,9,0,0.2658101698045241,1
benenitra,Benenitra,2025,9,1,0.2651915623963645,1
tsihombe,Tsihombe,2023,9,0,0.2640472594917447,1
tsihombe,Tsihombe,2024,3,0,0.2638639732080626,1
taolagnaro,Taolagnaro,2024,2,0,0.2608360256587655,1
taolagnaro,Taolagnaro,2024,8,0,0.2599922970998805,1
amboasary_atsimo,Amboasary-Atsimo,2023,10,0,0.2598466025542936,1
taolagnaro,Taolagnaro,2023,8,1,0.2593129682028532,1
sakaraha,Sakaraha,2025,2,0,0.2585835880556135,1
taolagnaro,Taolagnaro,2024,3,1,0.2580302674163704,1
benenitra,Benenitra,2023,10,1,0.2576660282455916,1
ampanihy_ouest,Ampanihy Ouest,2024,3,0,0.2574705672566657,1
ankazoabo,Ankazoabo,2023,10,1,0.2573737057838699,1
benenitra,Benenitra,2023,9,1,0.2566768650238479,1
ampanihy_ouest,Ampanihy Ouest,2024,9,0,0.2541857868895216,1
